ID	Gene symbol
1575	CUX1
1576	KIAA1310
1577	TCL6
1578	
1579	
1580	RPL7L1
1581	CHURC1
1582	
1583	ALPPL2|ALPP
1584	
1585	DERL1
1586	
1587	
1588	
1589	
1590	
1591	
1592	
1593	
1594	
1595	
1596	
1597	
1598	
1599	
1600	
1601	
1602	
1603	
1604	
1605	
1606	
1607	MYOM2|LOC100286951
1608	
1609	SLC25A3
1610	SSX3
1611	C8orf48
1612	
1613	H2AFJ
1614	C15orf52
1615	IVNS1ABP
1616	TRIP13
1617	DNMT3A
1618	ZNF516
1619	PTPRN2
1620	PHB
1621	DNAJB4
1622	KIAA1683
1623	IGSF3
1624	EIF3M|CCDC73
1625	C1QL3
1626	
1627	ZNF221
1628	
1629	SLC43A3
1630	RPS6
1631	HOXB4
1632	SDR42E1
1633	INPP5F
1634	CAMKK1
1635	
1636	RABIF
1637	
1638	CASP8
1639	TFDP1
1640	IGHG2
1641	CMKLR1
1642	
1643	HIST1H1D
1644	SDC1
1645	TRPM5
1646	OR5D16
1647	SERTAD3
1648	
1649	KLK6
1650	
1651	TM9SF3
1652	LOC728411
1653	
1654	ZNF197
1655	C19orf18
1656	FAM111A
1657	OR4F15
1658	SLC17A7
1659	NPNT
1660	SERPINE1
1661	
1662	CDX1
1663	NFYA
1664	VN1R5
1665	GPSM2
1666	ZNF627
1667	
1668	PDZD7
1669	PCYOX1L
1670	OAZ3
1671	
1672	SEZ6
1673	
1674	
1675	CYP2R1
1676	RPSA
1677	RAD23A
1678	DEGS1
1679	ARHGAP30
1680	
1681	
1682	FOXO4
1683	CCDC104
1684	PHOX2A
1685	KRT74
1686	
1687	RRAGC
1688	C12orf28
1689	
1690	SCGB2A1
1691	UTS2
1692	CASP1
1693	TMEM62
1694	KIR2DL4
1695	NR0B1
1696	PADI2
1697	TP53I3
1698	ETF1
1699	FAM178A
1700	MGAT4A
1701	OR4A47
1702	RPS6KA2|LOC100127984
1703	
1704	NFIL3
1705	SURF6
1706	SCNM1
1707	
1708	BAT2D1
1709	SYN3
1710	SCO1
1711	CBX6
1712	MGAT4A
1713	UBE2Q1
1714	CEACAM4
1715	INTS7
1716	C15orf61
1717	
1718	SIGLEC11
1719	SFRS5
1720	MYO15A
1721	
1722	CPNE5
1723	FAM55D
1724	FAM111B
1725	OR5I1
1726	MGC2752
1727	FBRS
1728	MCC
1729	TNFRSF17
1730	
1731	VASP
1732	CEP63
1733	MAN2B1
1734	PLXDC1
1735	MTMR12
1736	
1737	GRK7
1738	SPPL2B
1739	MXD1
1740	CASP5
1741	KCNK1
1742	
1743	SLC24A3
1744	C11orf17
1745	
1746	TFRC
1747	USP24
1748	
1749	HPCAL4
1750	HYOU1
1751	STON1-GTF2A1L|GTF2A1L
1752	SRPR
1753	SDSL
1754	CST3
1755	MEN1
1756	DOK1
1757	EXOSC6
1758	ARHGEF9
1759	
1760	DBF4
1761	KRT86
1762	MTSS1
1763	AMBN
1764	SIRT7
1765	SOX9
1766	ABCC4
1767	ANKRD17
1768	PIK3CG
1769	PTX3
1770	SEC14L4
1771	MAGEA12
1772	ALAS1
1773	EPS15
1774	PDXP
1775	GPD1
1776	USP30
1777	CR2
1778	SNX13
1779	PTPN14
1780	KIF2C
1781	POLL
1782	TCEB3
1783	OR4K13
1784	CCDC43
1785	PMS2
1786	ACTRT2
1787	RAP1A
1788	GRHL2
1789	
1790	RMND5A
1791	
1792	PDK3
1793	PHLPP2
1794	ASPHD2
1795	MTMR4
1796	FGA
1797	UBE2S
1798	PTPN22
1799	ZNF273
1800	GGT1
1801	E2F4
1802	
1803	NECAB1
1804	LOC100288143|LOH12CR1
1805	RGNEF
1806	HIBADH
1807	
1808	HOXB8
1809	KRT14
1810	
1811	NEK3
1812	ALPK1
1813	AK2
1814	AMELX
1815	H2AFX
1816	CELA2B
1817	PTPN7
1818	KRT24
1819	LOC100289566
1820	DAPL1
1821	ATF3
1822	
1823	CX3CL1
1824	
1825	
1826	
1827	CENPE
1828	
1829	YOD1
1830	
1831	
1832	ZNF527
1833	C4orf26
1834	
1835	
1836	SLC30A5
1837	C10orf79
1838	USP8
1839	HM13
1840	
1841	OR7A10
1842	PPP2R5D
1843	YPEL1
1844	F2
1845	IGFBP5
1846	
1847	LOC645431
1848	TMEM25
1849	PGGT1B
1850	CCNA1
1851	
1852	GIYD1|SULT1A3|GIYD2|SULT1A4
1853	
1854	
1855	
1856	
1857	
1858	
1859	
1860	
1861	
1862	
1863	
1864	
1865	
1866	
1867	
1868	
1869	
1870	
1871	HSP90AA1
1872	FTSJ3
1873	
1874	
1875	VIPR2
1876	PTGDS
1877	PTMS
1878	FRAT1
1879	TMEM88|LOC100287522
1880	FGF9
1881	GPR172A
1882	ARID1B
1883	STS
1884	KIAA1644
1885	TMPO
1886	DKFZP434H168
1887	C22orf36
1888	CD79A
1889	GOT2
1890	SEC14L3
1891	
1892	USMG5
1893	BEX5
1894	ITFG2
1895	PRH2
1896	AP1S1
1897	CNNM1
1898	COPS7B
1899	
1900	CDC14B
1901	CENPN
1902	ALDH3A2
1903	ADAM20
1904	RNASEN
1905	MTSS1
1906	PRDX4
1907	HSD3B1
1908	DCAF12
1909	PLA2G2D
1910	
1911	WDR89
1912	
1913	ZRANB2
